 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Município e Ano processamento
Capítulo CID-10: V.   Transtornos mentais e comportamentais
Período:Jan/2008-Set/2025
"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"120017 CAPIXABA";2;-;-;3;14;23;26;19;21;14;17;21;11;4;12;6;13;4;210
"120020 CRUZEIRO DO SUL";26;32;22;13;16;5;10;7;11;10;51;105;78;116;114;170;101;99;986
"120025 EPITACIOLANDIA";3;1;-;2;8;5;1;13;5;5;3;6;8;6;6;12;12;12;108
"120030 FEIJO";9;6;5;6;10;11;8;8;10;10;5;10;7;8;8;17;24;19;181
"120032 JORDAO";-;-;-;-;-;-;-;2;1;3;1;1;4;4;-;3;3;3;25
"120033 MANCIO LIMA";1;-;2;-;5;1;3;2;-;-;2;2;7;8;6;7;2;8;56
"120034 MANOEL URBANO";6;14;5;8;6;7;10;16;7;11;6;3;8;3;6;10;6;2;134
"120035 MARECHAL THAUMATURGO";1;2;-;-;-;1;-;-;1;-;3;10;10;7;7;16;10;12;80
"120038 PLACIDO DE CASTRO";12;3;2;14;14;12;26;20;15;25;20;20;15;7;12;11;12;8;248
"120039 PORTO WALTER";-;1;-;1;1;1;-;1;-;-;3;6;1;1;4;8;4;8;40
"120040 RIO BRANCO";919;817;859;925;824;782;1569;1639;1272;1070;1171;1124;779;590;866;927;1157;746;18036
"120042 RODRIGUES ALVES";3;4;-;2;1;5;5;1;4;1;1;2;4;6;11;4;5;18;77
"120043 SANTA ROSA DO PURUS";-;-;4;2;1;2;1;4;1;-;-;-;1;3;-;1;2;1;23
"120045 SENADOR GUIOMARD";8;-;2;3;17;25;28;32;26;11;22;14;14;17;16;24;26;16;301
"120050 SENA MADUREIRA";13;15;11;8;27;34;53;32;42;42;45;48;38;24;30;27;47;18;554
"120060 TARAUACA";13;7;23;21;21;13;28;29;42;34;31;12;22;30;27;41;39;40;473
"120070 XAPURI";6;1;5;5;5;24;23;12;9;11;24;20;19;12;18;13;23;30;260
"120080 PORTO ACRE";3;-;-;-;13;30;34;38;25;15;18;21;15;10;9;9;20;21;281
"130002 ALVARAES";-;-;1;-;-;-;-;-;-;1;-;1;-;4;1;2;-;3;13
"130006 AMATURA";-;-;-;-;-;-;1;-;-;-;2;1;-;2;-;-;-;2;8
"130008 ANAMA";-;-;-;-;-;1;-;-;-;-;-;-;-;2;1;-;2;1;7
"130010 ANORI";-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;2;-;2;6
"130014 APUI";-;-;-;-;-;2;4;2;3;4;3;5;1;5;2;1;7;1;40
"130020 ATALAIA DO NORTE";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2
"130030 AUTAZES";-;-;-;-;-;-;-;1;-;-;2;3;-;5;7;2;2;1;23
"130040 BARCELOS";3;4;3;6;4;-;-;-;2;6;-;4;-;2;4;4;7;6;55
"130050 BARREIRINHA";4;-;1;-;-;-;-;-;-;-;1;2;2;-;6;20;16;11;63
"130060 BENJAMIN CONSTANT";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;2
"130063 BERURI";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;4;1;9
"130068 BOA VISTA DO RAMOS";-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;2;1;7
"130070 BOCA DO ACRE";7;-;-;7;16;28;32;25;18;14;16;9;8;7;14;11;10;21;243
"130080 BORBA";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;2
"130083 CAAPIRANGA";-;-;-;-;-;-;-;-;-;-;-;-;22;5;2;-;-;-;29
"130090 CANUTAMA";-;-;-;-;-;-;-;-;-;-;2;1;2;2;2;1;-;-;10
"130100 CARAUARI";3;1;2;4;3;-;-;-;-;-;-;-;1;6;6;9;23;5;63
"130110 CAREIRO";-;-;-;-;-;-;2;2;2;-;2;-;-;4;-;1;-;2;15
"130115 CAREIRO DA VARZEA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;3
"130120 COARI";2;-;-;2;2;-;19;6;16;8;16;31;24;48;59;22;17;17;289
"130130 CODAJAS";-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;2;-;3;8
"130140 EIRUNEPE";-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;8;27;39;77
"130150 ENVIRA";-;-;-;-;-;-;-;-;-;1;-;-;-;1;5;7;4;11;29
"130165 GUAJARA";-;2;-;2;-;-;2;2;-;-;2;1;3;9;4;7;2;6;42
"130170 HUMAITA";2;1;1;-;2;2;5;9;2;11;8;6;8;2;7;17;19;6;108
"130180 IPIXUNA";-;-;-;1;1;-;4;3;10;9;15;5;11;8;10;9;8;12;106
"130185 IRANDUBA";-;-;-;-;-;-;-;-;-;-;2;1;-;6;4;3;10;5;31
"130190 ITACOATIARA";3;-;3;1;2;-;-;-;2;-;2;3;5;4;6;7;17;10;65
"130195 ITAMARATI";4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"130200 ITAPIRANGA";-;-;-;-;2;-;-;-;-;-;-;-;-;1;3;1;2;2;11
"130210 JAPURA";-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"130220 JURUA";2;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130230 JUTAI";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;3;7
"130240 LABREA";-;-;-;-;-;-;1;-;1;-;1;1;2;3;6;6;2;-;23
"130250 MANACAPURU";-;-;5;4;7;5;1;2;-;-;8;11;3;23;32;90;78;63;332
"130255 MANAQUIRI";-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;2;6
"130260 MANAUS";684;738;788;645;668;671;634;626;813;608;544;230;88;569;488;419;511;480;10204
"130270 MANICORE";-;-;-;-;-;-;-;-;-;2;-;2;3;5;4;5;6;4;31
"130280 MARAA";-;-;3;-;1;-;-;1;-;2;-;2;-;-;-;-;-;-;9
"130290 MAUES";1;-;-;-;3;-;2;1;1;5;2;1;1;5;1;10;18;8;59
"130300 NHAMUNDA";-;-;-;-;-;-;-;-;-;-;1;1;2;1;-;4;6;2;17
"130310 NOVA OLINDA DO NORTE";-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;1;2;7
"130320 NOVO AIRAO";-;-;-;-;-;1;-;-;-;-;2;2;-;1;1;-;1;-;8
"130330 NOVO ARIPUANA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"130340 PARINTINS";-;2;2;1;-;1;1;1;-;1;2;27;11;53;81;117;165;100;565
"130350 PAUINI";-;-;-;2;3;2;3;1;-;5;1;2;2;2;1;4;4;7;39
"130353 PRESIDENTE FIGUEIREDO";-;1;1;2;-;-;-;-;-;-;2;3;1;7;4;3;6;2;32
"130356 RIO PRETO DA EVA";-;-;-;-;-;-;-;-;-;-;1;4;1;7;4;5;3;-;25
"130360 SANTA ISABEL DO RIO NEGRO";-;-;-;1;-;2;-;-;-;-;-;-;-;4;1;2;1;-;11
"130370 SANTO ANTONIO DO ICA";-;-;-;-;1;1;1;-;-;2;-;1;1;2;1;4;4;-;18
"130380 SAO GABRIEL DA CACHOEIRA";1;-;-;-;-;-;-;-;1;1;8;7;5;2;2;4;5;6;42
"130390 SAO PAULO DE OLIVENCA";-;-;1;4;-;-;-;-;-;-;1;2;-;1;1;2;8;4;24
"130395 SAO SEBASTIAO DO UATUMA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;3;3;11
"130400 SILVES";-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;3
"130406 TABATINGA";-;2;1;3;1;-;1;3;-;-;1;1;-;-;-;-;2;1;16
"130410 TAPAUA";-;-;-;-;-;-;-;-;-;1;-;-;2;-;4;-;-;1;8
