 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Município e Ano processamento
Capítulo CID-10: V.   Transtornos mentais e comportamentais
Período:Jan/2008-Set/2025
"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"261400 SERRITA";13;13;21;25;22;36;29;22;21;14;28;27;15;30;39;43;44;33;475
"261410 SERTANIA";35;29;31;18;23;23;35;28;19;7;18;22;22;40;22;27;40;37;476
"261420 SIRINHAEM";20;15;17;12;17;19;14;24;7;12;10;13;6;18;16;18;17;7;262
"261430 MOREILANDIA";21;27;42;32;30;21;27;18;8;5;12;7;10;3;7;10;8;7;295
"261440 SOLIDAO";3;7;2;2;5;6;7;6;4;1;4;2;12;11;27;6;6;10;121
"261450 SURUBIM";35;27;40;46;34;19;17;17;14;12;13;6;7;13;20;20;23;22;385
"261460 TABIRA";12;8;16;25;22;18;19;11;11;12;22;13;38;34;44;39;41;25;410
"261470 TACAIMBO";8;5;9;3;1;1;3;1;1;-;1;2;3;3;2;3;3;2;51
"261480 TACARATU";15;7;5;8;7;2;6;8;2;3;5;6;4;2;8;7;13;14;122
"261485 TAMANDARE";10;15;11;8;9;11;2;11;8;5;6;8;10;23;9;10;8;10;174
"261500 TAQUARITINGA DO NORTE";12;19;14;11;9;7;2;1;1;3;4;1;-;4;6;5;4;5;108
"261510 TEREZINHA";3;4;7;7;5;3;2;4;2;4;2;10;2;2;2;1;-;4;64
"261520 TERRA NOVA";10;12;6;8;13;13;12;10;14;8;15;13;10;3;11;19;13;7;197
"261530 TIMBAUBA";32;31;24;27;39;33;60;83;77;54;58;28;11;13;14;28;25;22;659
"261540 TORITAMA";12;13;13;6;4;4;6;4;3;1;2;3;-;2;1;3;2;8;87
"261550 TRACUNHAEM";6;14;7;13;9;2;4;1;4;11;8;6;8;18;6;12;7;4;140
"261560 TRINDADE";22;19;13;10;27;27;19;25;10;28;43;31;21;34;29;29;14;7;408
"261570 TRIUNFO";43;32;39;33;32;32;18;21;29;20;24;41;28;38;40;30;38;30;568
"261580 TUPANATINGA";14;7;10;6;6;10;13;14;4;8;9;5;6;5;13;38;23;33;224
"261590 TUPARETAMA";9;6;4;8;9;7;7;2;-;3;5;4;3;2;2;3;4;6;84
"261600 VENTUROSA";15;6;14;6;7;9;5;1;2;4;2;2;3;3;2;7;8;13;109
"261610 VERDEJANTE";25;22;29;26;29;24;26;20;26;17;17;25;9;20;10;7;15;9;356
"261618 VERTENTE DO LERIO";4;8;8;2;4;6;3;-;1;-;-;4;1;-;2;3;7;3;56
"261620 VERTENTES";4;4;8;4;3;2;5;7;1;6;5;5;4;7;3;4;1;5;78
"261630 VICENCIA";17;17;35;24;19;11;17;30;16;42;34;30;21;16;24;24;31;18;426
"261640 VITORIA DE SANTO ANTAO";138;102;99;78;77;129;137;123;95;70;75;100;62;64;63;73;64;59;1608
"261650 XEXEU";7;4;3;4;5;-;5;4;6;7;4;10;3;3;4;3;2;4;78
"270010 AGUA BRANCA";5;5;11;4;4;5;3;12;14;12;16;13;3;14;8;9;9;6;153
"270020 ANADIA";7;5;8;7;11;11;5;5;5;2;3;9;4;7;3;7;5;4;108
"270030 ARAPIRACA";392;414;310;353;218;224;207;150;126;207;167;203;195;211;253;238;245;166;4279
"270040 ATALAIA";48;54;32;32;35;29;27;22;31;25;23;31;33;28;31;38;34;20;573
"270050 BARRA DE SANTO ANTONIO";37;26;16;24;28;23;21;20;14;14;8;18;15;18;13;13;15;11;334
"270060 BARRA DE SAO MIGUEL";14;11;7;5;13;11;16;7;11;4;7;4;4;4;7;3;3;6;137
"270070 BATALHA";7;5;11;6;7;4;5;7;1;2;1;3;1;3;1;3;1;6;74
"270080 BELEM";9;5;5;2;4;4;2;4;4;6;2;4;-;7;6;3;6;-;73
"270090 BELO MONTE";3;2;4;5;3;2;2;-;3;1;-;-;5;4;1;-;1;2;38
"270100 BOCA DA MATA";22;30;17;26;26;31;32;22;26;19;20;46;27;28;20;24;27;18;461
"270110 BRANQUINHA";15;14;13;20;12;9;14;13;11;18;33;15;21;33;36;9;6;-;292
"270120 CACIMBINHAS";4;7;10;17;17;10;10;1;3;12;9;11;10;10;6;15;12;7;171
"270130 CAJUEIRO";15;21;21;17;17;14;14;7;5;12;13;14;11;10;10;24;6;6;237
"270135 CAMPESTRE";7;2;9;5;5;5;3;3;1;2;2;2;3;4;5;3;4;4;69
"270140 CAMPO ALEGRE";66;60;53;68;43;45;37;16;22;23;38;38;32;34;49;47;42;26;739
"270150 CAMPO GRANDE";19;15;9;7;1;4;7;7;9;9;3;1;2;7;7;3;6;3;119
"270160 CANAPI";12;7;10;8;11;7;3;4;5;4;4;4;2;3;9;7;1;1;102
"270170 CAPELA";7;11;9;15;13;12;13;8;6;7;11;2;6;7;43;37;41;21;269
"270180 CARNEIROS";9;2;3;5;5;4;5;6;5;1;1;2;1;6;5;4;4;-;68
"270190 CHA PRETA";8;7;3;8;4;8;4;8;5;11;3;3;1;3;14;13;14;4;121
"270200 COITE DO NOIA";29;19;10;31;22;35;34;20;15;11;11;10;11;12;15;17;14;5;321
"270210 COLONIA LEOPOLDINA";28;14;20;16;11;14;14;10;6;11;12;17;5;3;9;17;8;3;218
"270220 COQUEIRO SECO";16;16;19;18;14;16;10;9;15;10;8;12;11;5;9;9;10;5;212
"270230 CORURIPE";47;52;45;43;42;43;43;18;16;19;26;22;24;38;42;39;27;12;598
"270235 CRAIBAS";35;32;47;32;34;48;56;27;28;28;34;22;31;22;18;22;27;13;556
"270240 DELMIRO GOUVEIA";53;22;29;25;14;26;18;13;20;23;13;14;10;10;16;22;25;13;366
"270250 DOIS RIACHOS";11;12;14;11;15;19;12;15;7;21;3;10;13;5;5;3;6;5;187
"270255 ESTRELA DE ALAGOAS";21;28;24;24;25;26;19;10;15;12;14;12;10;13;12;14;9;8;296
"270260 FEIRA GRANDE";43;32;29;36;37;37;30;25;39;26;15;25;18;29;22;28;18;15;504
"270270 FELIZ DESERTO";2;1;2;4;4;3;6;2;2;6;9;5;3;3;4;3;5;4;68
"270280 FLEXEIRAS";12;13;12;22;16;13;8;11;7;11;8;11;6;5;9;7;3;4;178
"270290 GIRAU DO PONCIANO";34;34;38;37;24;32;23;13;11;17;11;21;21;17;15;13;28;18;407
"270300 IBATEGUARA";13;11;12;27;14;17;17;18;27;8;11;14;9;19;4;10;11;2;244
"270310 IGACI";63;53;42;44;29;42;50;32;34;27;18;17;21;33;19;15;12;13;564
"270320 IGREJA NOVA";12;8;10;13;11;13;12;5;4;8;2;7;3;5;11;8;5;3;140
"270330 INHAPI";23;19;10;19;18;20;16;2;1;6;4;3;4;1;5;1;6;8;166
"270340 JACARE DOS HOMENS";11;13;15;18;9;6;6;3;2;3;3;4;1;1;2;3;3;2;105
"270350 JACUIPE";8;1;7;10;7;10;6;4;2;4;3;5;5;2;-;1;8;4;87
"270360 JAPARATINGA";7;11;5;9;10;-;3;5;4;5;6;4;3;2;2;6;4;4;90
"270370 JARAMATAIA";10;8;1;4;2;4;-;2;2;6;3;4;2;1;3;-;1;-;53
"270375 JEQUIA DA PRAIA";6;10;11;8;12;4;4;7;3;2;5;4;5;1;3;5;6;2;98
"270380 JOAQUIM GOMES";27;23;24;19;20;23;21;19;15;18;23;33;17;16;20;20;13;4;355
"270390 JUNDIA";3;1;8;2;-;3;6;1;7;-;1;1;-;-;1;1;1;1;37
"270400 JUNQUEIRO";36;29;31;32;24;29;32;27;14;22;11;15;13;6;17;22;14;12;386
"270410 LAGOA DA CANOA";29;21;24;33;26;37;26;17;16;21;15;17;16;10;18;19;17;14;376
"270420 LIMOEIRO DE ANADIA";47;39;41;51;43;49;36;38;27;45;24;34;44;36;43;46;79;46;768
"270430 MACEIO";3679;3426;3173;3183;2937;2775;2590;1829;1860;1672;1806;1997;1513;1577;1383;1327;1482;1029;39238
"270440 MAJOR ISIDORO";19;31;16;27;12;15;16;13;13;16;13;18;12;13;12;11;11;8;276
"270450 MARAGOGI";32;24;30;23;16;14;13;7;7;7;6;8;8;6;9;7;9;8;234
"270460 MARAVILHA";13;24;15;13;16;16;22;8;4;6;2;8;5;7;4;7;4;5;179
"270470 MARECHAL DEODORO";57;46;59;66;76;72;62;57;70;61;72;78;61;49;60;58;84;43;1131
"270480 MARIBONDO";35;31;30;28;25;15;24;5;12;9;10;13;10;10;10;20;8;11;306
"270490 MAR VERMELHO";5;4;3;12;7;7;7;4;4;1;1;1;3;1;2;-;3;1;66
"270500 MATA GRANDE";5;21;26;22;19;17;10;9;6;8;8;5;3;2;1;6;2;2;172
"270510 MATRIZ DE CAMARAGIBE";22;23;23;27;19;40;19;24;15;24;23;24;13;16;20;11;21;15;379
"270520 MESSIAS";24;20;24;23;17;26;19;20;15;17;18;22;22;27;21;21;19;14;369
"270530 MINADOR DO NEGRAO";4;4;3;11;6;4;1;1;3;4;2;5;1;3;2;1;2;-;57
"270540 MONTEIROPOLIS";4;9;10;10;12;8;6;6;5;4;8;5;5;1;6;7;4;5;115
"270550 MURICI";23;15;14;17;21;18;28;70;74;75;78;57;95;80;81;20;11;9;786
"270560 NOVO LINO";14;9;19;7;10;9;8;4;9;13;13;11;14;17;11;7;18;14;207
"270570 OLHO D'AGUA DAS FLORES";34;22;25;29;27;25;26;12;5;6;6;9;11;6;9;12;13;3;280
"270580 OLHO D'AGUA DO CASADO";15;6;7;4;6;7;3;2;1;3;-;2;1;3;2;2;5;1;70
"270590 OLHO D'AGUA GRANDE";3;5;6;6;2;1;3;2;2;2;6;5;3;5;4;5;7;6;73
"270600 OLIVENCA";1;5;6;7;6;6;12;6;5;8;4;7;2;2;4;3;8;3;95
"270610 OURO BRANCO";22;12;4;15;8;7;5;4;4;1;-;1;1;6;2;5;5;1;103
"270620 PALESTINA";-;-;-;1;4;7;9;2;3;1;-;4;3;2;4;1;1;-;42
"270630 PALMEIRA DOS INDIOS";121;150;138;151;151;140;104;86;72;111;79;80;75;73;67;59;49;25;1731
"270640 PAO DE ACUCAR";7;14;8;12;32;28;33;81;52;31;18;20;20;11;11;15;10;15;418
"270642 PARICONHA";9;10;10;16;9;4;9;9;9;6;6;4;5;-;3;6;4;-;119
"270644 PARIPUEIRA";20;20;19;22;30;13;11;15;14;6;21;20;24;8;16;21;17;9;306
"270650 PASSO DE CAMARAGIBE";20;22;16;27;25;27;28;9;11;4;11;8;2;7;5;12;6;3;243
"270660 PAULO JACINTO";10;16;17;18;13;20;18;16;13;9;9;15;9;11;10;7;13;9;233
"270670 PENEDO";76;76;66;70;52;49;43;45;20;27;29;38;23;18;18;25;32;25;732
"270680 PIACABUCU";11;4;9;7;5;5;3;5;8;4;16;10;6;3;5;11;11;4;127
"270690 PILAR";53;44;44;53;53;40;38;32;38;16;27;28;29;17;25;32;27;24;620
"270700 PINDOBA";3;-;-;2;1;9;7;4;9;6;-;4;3;-;9;7;1;5;70
"270710 PIRANHAS";7;7;7;4;6;4;3;3;2;3;8;7;9;8;12;9;8;9;116
"270720 POCO DAS TRINCHEIRAS";3;1;2;2;5;8;6;6;7;4;5;5;5;4;3;5;3;3;77
"270730 PORTO CALVO";16;10;7;19;10;15;28;14;14;9;12;9;4;11;13;12;8;5;216
"270740 PORTO DE PEDRAS";4;4;9;5;5;6;4;1;4;8;3;1;2;4;2;5;1;1;69
"270750 PORTO REAL DO COLEGIO";24;14;10;6;11;14;8;12;8;10;9;13;7;16;13;5;7;3;190
"270760 QUEBRANGULO";9;7;9;6;7;8;10;5;10;5;6;5;15;6;6;3;6;5;128
"270770 RIO LARGO";250;199;162;194;185;177;240;212;187;200;202;198;188;141;125;91;111;110;3172
"270780 ROTEIRO";17;10;16;17;10;14;10;6;12;6;9;9;6;8;8;14;5;4;181
"270790 SANTA LUZIA DO NORTE";26;23;25;24;21;13;10;6;8;7;3;7;5;8;2;8;7;6;209
"270800 SANTANA DO IPANEMA";16;10;21;20;17;30;41;33;35;19;22;27;20;15;11;16;16;9;378
"270810 SANTANA DO MUNDAU";23;12;9;17;14;12;12;11;16;11;14;10;11;17;16;6;4;3;218
"270820 SAO BRAS";3;2;4;1;1;-;1;1;-;-;2;3;1;1;-;-;4;1;25
"270830 SAO JOSE DA LAJE";30;17;11;19;21;19;14;30;22;23;31;27;27;31;20;5;8;10;365
"270840 SAO JOSE DA TAPERA";13;14;4;9;11;16;4;15;8;10;3;8;26;14;19;19;23;7;223
"270850 SAO LUIS DO QUITUNDE";26;40;42;46;34;38;44;34;31;25;33;30;18;22;22;20;25;10;540
"270860 SAO MIGUEL DOS CAMPOS";114;98;118;95;89;89;74;69;77;59;47;45;42;57;137;57;61;38;1366
"270870 SAO MIGUEL DOS MILAGRES";13;14;6;8;7;5;9;4;8;6;5;20;9;5;7;9;6;12;153
"270880 SAO SEBASTIAO";35;29;17;36;23;38;30;19;18;29;20;22;21;16;30;16;18;15;432
"270890 SATUBA";64;52;39;48;47;57;62;35;43;33;20;31;26;22;24;21;23;19;666
"270895 SENADOR RUI PALMEIRA";22;24;15;18;11;10;11;8;14;10;7;10;16;11;11;24;23;8;253
"270900 TANQUE D'ARCA";1;5;9;8;12;5;3;3;2;1;6;3;2;6;3;4;7;5;85
"270910 TAQUARANA";35;28;32;37;25;27;24;16;19;23;16;14;21;30;13;20;23;16;419
"270915 TEOTONIO VILELA";12;16;12;20;18;25;29;20;11;19;26;17;20;47;135;216;297;117;1057
"270920 TRAIPU";18;18;17;17;15;19;17;10;13;23;19;17;7;5;16;11;16;18;276
"270930 UNIAO DOS PALMARES";83;86;84;83;87;64;80;92;82;104;91;84;78;121;98;52;49;22;1440
"270940 VICOSA";15;22;29;25;28;31;22;20;24;19;21;16;16;10;28;20;16;11;373
"280010 AMPARO DE SAO FRANCISCO";3;4;6;5;4;4;5;4;2;3;2;3;2;1;1;1;1;-;51
"280020 AQUIDABA";27;20;28;16;19;7;12;15;14;9;11;13;14;15;17;24;12;77;350
"280030 ARACAJU";1509;1140;1280;1175;897;523;871;996;770;544;456;390;273;215;294;352;394;373;12452
"280040 ARAUA";3;15;8;5;11;10;19;26;26;9;11;24;8;4;13;10;6;9;217
"280050 AREIA BRANCA";18;23;22;10;20;3;11;15;17;8;14;6;2;4;3;4;8;6;194
"280060 BARRA DOS COQUEIROS";53;45;48;55;37;20;36;52;41;31;35;33;24;21;18;20;26;23;618
"280067 BOQUIM";20;23;32;23;18;12;16;23;19;16;12;8;10;16;12;5;13;9;287
"280070 BREJO GRANDE";14;11;3;4;8;1;7;6;8;7;6;16;8;12;14;4;2;1;132
"280100 CAMPO DO BRITO";13;21;12;14;16;7;16;12;16;7;9;2;1;2;1;4;2;2;157
"280110 CANHOBA";12;8;7;5;6;2;-;2;3;6;-;-;1;1;-;1;2;1;57
"280120 CANINDE DE SAO FRANCISCO";6;12;7;6;9;2;5;9;5;11;15;8;2;3;12;8;7;11;138
"280130 CAPELA";34;29;35;22;26;23;41;48;47;58;45;43;28;18;25;16;17;8;563
"280140 CARIRA";12;26;19;20;16;13;9;11;12;10;5;12;8;7;4;8;10;-;202
"280150 CARMOPOLIS";10;11;14;7;7;6;18;7;8;10;7;7;8;7;2;9;10;5;153
"280160 CEDRO DE SAO JOAO";4;5;11;12;3;3;4;5;10;5;6;4;5;10;5;11;10;2;115
"280170 CRISTINAPOLIS";23;19;27;23;29;10;16;27;8;14;10;5;8;3;8;2;8;8;248
"280190 CUMBE";1;3;2;1;-;-;-;-;2;3;4;3;-;-;2;-;-;-;21
"280200 DIVINA PASTORA";8;8;8;6;7;8;6;5;15;10;8;3;4;2;1;10;9;3;121
"280210 ESTANCIA";44;64;59;57;67;41;48;70;60;43;41;39;27;27;20;39;72;53;871
"280220 FEIRA NOVA";9;7;7;8;7;2;3;4;1;1;2;-;-;1;-;4;-;-;56
"280230 FREI PAULO";7;5;17;15;8;5;7;14;5;4;4;6;2;1;-;1;5;3;109
"280240 GARARU";5;7;1;5;7;3;5;5;9;5;5;4;-;6;-;11;10;-;88
"280250 GENERAL MAYNARD";3;3;4;1;3;6;1;5;1;4;2;1;2;4;5;2;1;-;48
"280260 GRACHO CARDOSO";8;2;15;4;7;2;2;3;9;5;5;3;2;1;5;-;5;3;81
"280270 ILHA DAS FLORES";4;5;2;1;1;2;4;2;1;2;2;5;-;4;1;-;5;2;43
"280280 INDIAROBA";12;11;8;3;7;2;6;8;8;10;9;4;-;7;3;4;5;3;110
"280290 ITABAIANA";51;37;53;51;34;32;31;57;51;67;49;39;33;29;38;47;35;39;773
"280300 ITABAIANINHA";37;25;18;40;34;20;19;29;12;17;16;20;17;17;23;29;14;11;398
"280310 ITABI";-;4;3;3;5;5;6;2;3;1;8;-;6;-;-;2;6;1;55
"280320 ITAPORANGA D'AJUDA";39;31;37;27;35;18;28;45;43;32;15;25;15;9;6;19;30;9;463
"280330 JAPARATUBA";16;14;21;19;21;9;11;26;24;4;7;7;3;14;11;3;7;6;223
"280340 JAPOATA";10;4;4;20;8;2;5;10;7;4;11;6;7;2;8;12;12;9;141
"280350 LAGARTO";69;56;81;83;63;57;71;98;98;57;49;51;34;41;45;59;51;25;1088
"280360 LARANJEIRAS";32;53;46;32;22;15;30;27;30;21;8;9;11;6;6;14;10;5;377
"280370 MACAMBIRA";1;4;5;4;5;1;2;1;3;1;2;4;-;4;2;1;2;-;42
"280380 MALHADA DOS BOIS";7;6;3;3;2;-;2;-;1;-;2;-;-;-;2;2;1;2;33
"280390 MALHADOR";11;13;7;9;5;1;12;8;8;4;10;18;1;2;7;7;4;6;133
"280400 MARUIM";17;17;14;17;12;16;31;23;21;13;19;13;5;12;10;7;11;11;269
"280410 MOITA BONITA";8;6;4;9;10;7;8;10;11;9;8;9;4;-;6;1;10;3;123
"280420 MONTE ALEGRE DE SERGIPE";6;9;8;13;7;2;9;7;4;3;9;9;5;2;16;4;1;2;116
"280430 MURIBECA";5;7;13;7;3;10;7;3;4;3;2;7;3;4;3;1;7;7;96
"280440 NEOPOLIS";7;7;9;15;12;1;2;7;1;2;2;7;4;2;5;10;6;-;99
"280445 NOSSA SENHORA APARECIDA";14;6;4;6;7;3;4;5;7;9;7;2;2;1;4;4;3;1;89
"280450 NOSSA SENHORA DA GLORIA";14;17;15;12;14;10;17;16;13;9;7;12;8;9;13;13;19;6;224
"280460 NOSSA SENHORA DAS DORES";32;26;33;28;16;16;24;22;27;13;14;17;9;13;5;12;16;6;329
"280470 NOSSA SENHORA DE LOURDES";5;3;2;-;3;3;3;-;5;4;3;3;-;-;3;-;2;2;41
"280480 NOSSA SENHORA DO SOCORRO";484;342;382;294;292;151;243;247;218;161;160;123;79;58;84;100;98;98;3614
"280490 PACATUBA";17;29;21;25;15;9;14;16;17;14;15;9;3;5;9;7;8;3;236
"280500 PEDRA MOLE";1;2;3;1;4;1;-;2;1;-;3;2;-;-;3;-;-;1;24
"280510 PEDRINHAS";13;13;15;12;11;4;17;9;4;4;3;5;1;-;1;-;3;3;118
"280520 PINHAO";4;5;6;4;6;1;1;2;2;1;1;4;3;4;2;1;-;-;47
"280530 PIRAMBU";12;2;6;4;10;6;7;8;6;2;2;3;6;1;9;4;4;2;94
"280540 POCO REDONDO";7;15;12;13;5;-;5;7;6;3;6;3;4;7;14;11;6;2;126
"280550 POCO VERDE";7;17;13;21;21;12;27;18;25;18;9;16;9;11;6;16;18;13;277
"280560 PORTO DA FOLHA";11;8;9;22;12;12;5;6;11;3;9;5;8;1;11;-;9;5;147
"280570 PROPRIA";71;35;43;55;60;18;28;38;39;19;17;31;14;16;6;6;26;8;530
"280580 RIACHAO DO DANTAS";13;12;13;12;7;7;7;22;19;23;17;16;15;12;24;18;13;11;261
"280590 RIACHUELO";14;18;11;13;17;10;14;22;21;15;18;13;10;3;3;15;15;9;241
"280600 RIBEIROPOLIS";13;13;14;14;20;12;10;12;13;10;1;5;5;4;3;-;7;4;160
"280610 ROSARIO DO CATETE";13;12;10;9;14;12;14;19;10;14;8;5;4;7;9;5;3;4;172
"280620 SALGADO";17;21;23;22;22;15;18;22;11;10;13;12;4;5;3;17;15;10;260
"280630 SANTA LUZIA DO ITANHY";18;13;11;5;10;7;6;10;21;9;12;7;12;8;5;9;13;3;179
"280640 SANTANA DO SAO FRANCISCO";2;3;2;3;3;1;2;5;-;1;-;2;1;-;13;1;2;2;43
"280650 SANTA ROSA DE LIMA";6;8;6;8;3;2;13;2;5;3;10;7;2;-;1;3;4;2;85
"280660 SANTO AMARO DAS BROTAS";20;17;8;14;17;7;12;10;8;7;6;5;1;2;6;10;3;1;154
"280670 SAO CRISTOVAO";157;108;162;159;150;65;106;114;98;84;88;74;39;28;70;57;61;46;1666
"280680 SAO DOMINGOS";12;13;13;9;16;6;7;10;9;17;4;3;-;1;3;-;3;6;132
"280690 SAO FRANCISCO";3;-;1;7;3;3;-;5;-;3;-;1;1;-;1;1;-;3;32
"280700 SAO MIGUEL DO ALEIXO";4;4;3;1;5;4;3;3;3;1;2;1;-;-;2;1;-;-;37
"280710 SIMAO DIAS";13;13;20;39;21;15;20;24;20;15;25;16;25;23;24;27;26;18;384
"280720 SIRIRI";11;7;7;6;3;2;4;6;7;3;3;2;-;-;-;1;2;3;67
"280730 TELHA";1;-;2;5;1;-;-;-;-;3;2;2;-;2;2;2;-;4;26
"280740 TOBIAS BARRETO";36;22;40;49;46;27;48;38;26;37;26;15;16;12;8;17;15;20;498
"280750 TOMAR DO GERU";12;3;11;8;10;4;3;10;6;4;7;9;4;2;3;4;7;6;113
"280760 UMBAUBA";12;20;17;17;21;13;16;20;24;15;9;15;9;9;5;13;9;4;248
"290010 ABAIRA";-;1;-;-;-;-;1;-;2;-;2;-;2;-;-;-;-;2;10
"290020 ABARE";13;23;27;9;8;3;10;9;3;13;3;11;8;6;12;7;3;3;171
"290030 ACAJUTIBA";1;5;1;5;4;2;1;-;-;1;2;-;-;2;1;1;6;-;32
"290035 ADUSTINA";-;4;2;3;3;-;1;1;-;1;6;-;-;-;-;-;5;3;29
"290040 AGUA FRIA";13;5;4;5;2;2;4;-;1;2;2;2;4;-;2;4;1;-;53
"290050 ERICO CARDOSO";2;1;1;4;2;1;4;4;5;7;3;-;2;3;-;2;3;9;53
"290060 AIQUARA";3;9;12;5;8;11;3;5;1;1;3;3;2;5;2;1;-;1;75
"290070 ALAGOINHAS";15;9;9;13;16;7;11;21;14;15;15;15;15;15;24;15;15;25;269
"290080 ALCOBACA";7;10;6;12;16;8;5;1;1;1;1;2;3;3;1;1;1;2;81
"290090 ALMADINA";3;8;7;5;4;5;1;1;-;-;-;1;2;1;-;-;-;-;38
"290100 AMARGOSA";9;10;9;10;19;7;12;21;7;17;11;9;4;5;6;9;16;21;202
"290110 AMELIA RODRIGUES";19;7;5;5;12;9;2;7;6;6;1;6;6;2;1;2;9;9;114
"290115 AMERICA DOURADA";1;-;-;2;2;1;2;7;2;-;-;3;2;1;2;2;5;1;33
"290120 ANAGE";8;8;10;5;6;8;8;6;5;3;2;4;2;4;4;3;4;3;93
"290130 ANDARAI";8;3;3;4;11;3;8;4;3;2;4;7;2;3;8;9;4;2;88
"290135 ANDORINHA";6;-;2;1;3;2;1;-;4;6;2;-;2;-;4;3;1;-;37
"290140 ANGICAL";-;-;2;-;1;5;4;1;-;2;-;-;-;-;3;3;6;3;30
"290150 ANGUERA";4;10;5;2;2;1;3;2;-;2;1;2;4;1;3;1;2;1;46
"290160 ANTAS";7;8;4;1;6;3;10;3;7;4;3;1;1;1;9;5;4;-;77
"290170 ANTONIO CARDOSO";12;3;7;11;3;4;1;2;3;1;-;1;1;3;11;2;7;4;76
"290180 ANTONIO GONCALVES";6;4;1;5;2;3;9;2;4;3;5;1;1;1;3;2;-;2;54
"290190 APORA";3;5;3;2;5;7;7;4;-;-;2;2;1;3;2;5;4;10;65
"290195 APUAREMA";2;-;5;-;-;1;1;1;1;4;-;3;5;2;2;10;5;2;44
"290200 ARACATU";7;5;1;7;4;3;5;7;-;1;1;4;2;2;9;6;5;6;75
"290205 ARACAS";4;-;1;1;1;-;1;-;1;2;-;1;2;-;2;2;-;-;18
"290210 ARACI";8;4;6;4;1;13;3;2;10;-;6;1;-;-;3;6;4;2;73
"290220 ARAMARI";1;1;1;1;3;2;-;-;3;1;1;3;-;-;-;-;-;-;17
"290225 ARATACA";13;14;11;14;12;9;4;1;1;1;2;-;-;1;1;1;5;4;94
"290230 ARATUIPE";-;2;6;3;5;2;1;2;1;21;42;60;45;36;69;76;46;66;483
"290240 AURELINO LEAL";13;12;18;15;15;13;2;2;1;-;1;1;-;-;-;2;1;-;96
"290250 BAIANOPOLIS";2;-;3;3;10;6;8;7;8;12;30;10;2;-;-;-;3;-;104
"290260 BAIXA GRANDE";2;1;1;5;3;5;3;3;4;2;1;1;-;-;3;-;3;2;39
"290265 BANZAE";3;2;-;-;-;-;-;1;1;-;2;1;2;1;1;1;1;-;16
"290270 BARRA";1;4;6;13;14;4;7;16;33;5;2;3;2;3;6;2;1;5;127
"290280 BARRA DA ESTIVA";5;6;3;1;3;4;5;2;5;1;1;2;3;4;2;2;1;-;50
"290290 BARRA DO CHOCA";4;7;12;13;12;5;10;16;4;1;8;3;8;7;8;5;11;14;148
"290300 BARRA DO MENDES";-;3;1;1;3;4;8;6;2;3;1;-;-;1;1;1;-;-;35
"290310 BARRA DO ROCHA";3;-;2;-;1;1;6;2;2;1;-;-;3;2;6;-;-;1;30
"290320 BARREIRAS";24;6;9;16;12;14;12;25;21;29;31;31;18;9;12;31;210;164;674
"290323 BARRO ALTO";2;-;-;1;2;1;-;2;-;-;1;1;-;-;3;4;-;-;17
"290327 BARROCAS";1;-;2;2;1;1;2;3;4;6;2;-;2;4;8;8;3;1;50
"290330 BARRO PRETO";17;11;22;18;18;19;15;2;3;-;-;-;-;-;1;-;-;-;126
"290340 BELMONTE";4;-;2;6;9;8;2;2;3;-;2;2;-;1;-;1;1;1;44
"290350 BELO CAMPO";21;10;26;49;36;40;29;43;36;23;34;22;31;18;24;33;62;33;570
"290360 BIRITINGA";2;1;2;3;1;1;1;2;1;1;1;1;1;-;6;3;3;-;30
"290370 BOA NOVA";13;6;12;8;1;5;5;9;3;5;3;6;1;1;4;6;3;6;97
"290380 BOA VISTA DO TUPIM";8;7;5;8;6;6;3;5;1;2;16;16;3;5;10;9;6;2;118
"290390 BOM JESUS DA LAPA";-;2;6;5;7;11;20;24;40;31;61;26;18;30;27;20;20;12;360
"290395 BOM JESUS DA SERRA";5;4;4;1;3;3;4;5;2;1;-;1;1;2;2;-;1;1;40
"290400 BONINAL";4;5;7;6;4;1;1;2;1;1;-;1;1;-;-;6;1;1;42
"290405 BONITO";5;4;2;-;3;-;1;-;-;-;-;-;2;1;-;-;1;4;23
"290410 BOQUIRA";2;4;2;-;2;20;4;11;2;6;9;7;6;7;1;1;3;8;95
"290420 BOTUPORA";3;4;2;2;3;5;1;1;1;-;1;1;-;1;-;-;1;1;27
"290430 BREJOES";4;2;6;3;3;2;1;8;1;-;-;3;3;3;-;1;3;-;43
"290440 BREJOLANDIA";1;-;-;1;1;-;-;-;-;-;-;-;-;1;3;-;-;-;7
"290450 BROTAS DE MACAUBAS";-;3;3;3;5;-;-;-;-;5;1;1;-;-;1;1;2;1;26
"290460 BRUMADO";39;4;11;66;52;34;42;28;32;22;20;14;29;28;12;19;35;22;509
"290470 BUERAREMA";43;35;49;57;46;45;40;6;8;1;-;1;1;-;-;2;2;4;340
"290475 BURITIRAMA";3;1;-;-;2;1;3;5;16;5;2;1;-;-;-;1;-;-;40
"290480 CAATIBA";-;3;-;2;1;1;2;9;-;-;-;2;1;-;1;2;1;-;25
"290485 CABACEIRAS DO PARAGUACU";2;-;-;1;5;3;1;2;9;11;7;3;6;3;10;1;5;-;69
