Município,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
220285 CORONEL JOSE DIAS,2.0,,2.0,1.0,,,1.0,,2.0,,4.0,8.0,7.0,,2.0,2.0,2.0,1.0,34.0
220290 CORRENTE,5.0,4.0,10.0,,7.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,,3.0,,2.0,5.0,1.0,49.0
220300 CRISTALANDIA DO PIAUI,1.0,,,,1.0,1.0,,,1.0,,,1.0,,,1.0,,,1.0,7.0
220310 CRISTINO CASTRO,6.0,6.0,5.0,1.0,1.0,1.0,2.0,,1.0,2.0,,,,1.0,,,2.0,2.0,30.0
220320 CURIMATA,,,3.0,2.0,4.0,2.0,1.0,,2.0,1.0,,,2.0,1.0,2.0,1.0,2.0,1.0,24.0
220323 CURRAIS,1.0,,1.0,,,,,,,,,,2.0,,2.0,,,,6.0
220325 CURRALINHOS,,1.0,2.0,1.0,2.0,1.0,2.0,3.0,6.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,,,29.0
220327 CURRAL NOVO DO PIAUI,5.0,6.0,8.0,4.0,10.0,3.0,3.0,3.0,,,2.0,3.0,1.0,5.0,5.0,4.0,2.0,4.0,68.0
220330 DEMERVAL LOBAO,12.0,11.0,13.0,12.0,7.0,10.0,14.0,6.0,2.0,12.0,3.0,2.0,2.0,4.0,5.0,3.0,3.0,4.0,125.0
220335 DIRCEU ARCOVERDE,,1.0,1.0,1.0,3.0,,,2.0,,2.0,4.0,6.0,7.0,2.0,5.0,13.0,7.0,1.0,55.0
220340 DOM EXPEDITO LOPES,9.0,11.0,18.0,16.0,7.0,7.0,4.0,6.0,4.0,4.0,,1.0,1.0,2.0,3.0,2.0,4.0,,99.0
220342 DOMINGOS MOURAO,2.0,3.0,2.0,1.0,,2.0,,,,,,1.0,1.0,1.0,1.0,,1.0,3.0,18.0
220345 DOM INOCENCIO,3.0,1.0,,1.0,,,,,,,,4.0,2.0,3.0,2.0,7.0,2.0,1.0,26.0
220350 ELESBAO VELOSO,11.0,15.0,8.0,9.0,12.0,10.0,5.0,5.0,9.0,5.0,5.0,1.0,6.0,2.0,7.0,5.0,4.0,4.0,123.0
220360 ELISEU MARTINS,1.0,4.0,5.0,1.0,3.0,1.0,3.0,,,1.0,,,,,2.0,,,,21.0
220370 ESPERANTINA,23.0,19.0,14.0,14.0,9.0,9.0,5.0,3.0,7.0,6.0,8.0,9.0,6.0,8.0,9.0,2.0,4.0,3.0,158.0
220375 FARTURA DO PIAUI,,3.0,1.0,,,,1.0,1.0,1.0,,2.0,4.0,4.0,6.0,1.0,7.0,2.0,,33.0
220380 FLORES DO PIAUI,7.0,1.0,3.0,,3.0,,1.0,,3.0,3.0,,2.0,,1.0,1.0,3.0,,,28.0
220385 FLORESTA DO PIAUI,4.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,,,,,,,,1.0,,,18.0
220390 FLORIANO,13.0,12.0,6.0,11.0,17.0,9.0,8.0,4.0,7.0,,5.0,3.0,4.0,7.0,5.0,6.0,4.0,2.0,123.0
220400 FRANCINOPOLIS,13.0,10.0,7.0,1.0,1.0,3.0,1.0,4.0,,2.0,5.0,,,,4.0,1.0,1.0,,53.0
220410 FRANCISCO AYRES,1.0,1.0,,2.0,2.0,4.0,,,1.0,,,1.0,1.0,,1.0,,1.0,,15.0
220415 FRANCISCO MACEDO,3.0,6.0,7.0,5.0,3.0,3.0,4.0,1.0,1.0,1.0,,2.0,,,,,,,36.0
220420 FRANCISCO SANTOS,8.0,7.0,11.0,6.0,4.0,8.0,9.0,10.0,1.0,,,1.0,,1.0,,2.0,4.0,,72.0
220430 FRONTEIRAS,11.0,4.0,7.0,9.0,10.0,13.0,5.0,8.0,2.0,4.0,2.0,5.0,3.0,1.0,1.0,2.0,1.0,,88.0
220435 GEMINIANO,10.0,11.0,8.0,4.0,9.0,5.0,4.0,6.0,,2.0,1.0,2.0,,2.0,2.0,,1.0,,67.0
220440 GILBUES,1.0,,1.0,1.0,3.0,2.0,11.0,2.0,2.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,30.0
220450 GUADALUPE,9.0,3.0,3.0,5.0,,2.0,1.0,7.0,5.0,3.0,1.0,6.0,1.0,1.0,2.0,4.0,5.0,7.0,65.0
220455 GUARIBAS,,2.0,,1.0,,,,1.0,,1.0,,,,1.0,2.0,2.0,1.0,,11.0
220460 HUGO NAPOLEAO,1.0,2.0,,2.0,2.0,2.0,2.0,1.0,3.0,,2.0,,,,1.0,5.0,,,23.0
220465 ILHA GRANDE,17.0,17.0,20.0,19.0,28.0,27.0,24.0,18.0,48.0,41.0,39.0,31.0,23.0,16.0,23.0,17.0,16.0,8.0,432.0
220470 INHUMA,10.0,10.0,10.0,9.0,11.0,6.0,,2.0,2.0,1.0,2.0,2.0,1.0,6.0,4.0,6.0,3.0,2.0,87.0
220480 IPIRANGA DO PIAUI,12.0,14.0,26.0,13.0,6.0,5.0,5.0,3.0,3.0,3.0,2.0,4.0,5.0,11.0,10.0,6.0,4.0,1.0,133.0
220490 ISAIAS COELHO,10.0,4.0,8.0,3.0,6.0,1.0,7.0,1.0,,3.0,1.0,1.0,1.0,4.0,5.0,1.0,6.0,1.0,63.0
220500 ITAINOPOLIS,25.0,11.0,27.0,20.0,9.0,13.0,16.0,11.0,1.0,,,2.0,1.0,2.0,3.0,,1.0,,142.0
220510 ITAUEIRA,5.0,10.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,4.0,3.0,3.0,5.0,4.0,2.0,55.0
220515 JACOBINA DO PIAUI,1.0,3.0,,3.0,2.0,4.0,5.0,,2.0,5.0,7.0,4.0,3.0,3.0,1.0,1.0,5.0,6.0,55.0
220520 JAICOS,13.0,15.0,15.0,10.0,5.0,3.0,3.0,9.0,1.0,,,6.0,2.0,6.0,6.0,3.0,5.0,3.0,105.0
220525 JARDIM DO MULATO,1.0,4.0,7.0,,2.0,1.0,4.0,1.0,,,1.0,3.0,,,,1.0,,1.0,26.0
220527 JATOBA DO PIAUI,1.0,2.0,1.0,,,1.0,,1.0,1.0,2.0,1.0,1.0,,1.0,,1.0,,,13.0
220530 JERUMENHA,,5.0,3.0,5.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,1.0,1.0,4.0,2.0,5.0,2.0,2.0,50.0
220535 JOAO COSTA,,,,,,,1.0,,,,,,,,,,,,1.0
220540 JOAQUIM PIRES,10.0,2.0,2.0,6.0,1.0,5.0,6.0,2.0,4.0,2.0,5.0,3.0,1.0,5.0,10.0,5.0,5.0,6.0,80.0
220545 JOCA MARQUES,,1.0,,,5.0,,,3.0,,1.0,2.0,3.0,3.0,4.0,1.0,3.0,,,26.0
220550 JOSE DE FREITAS,29.0,21.0,27.0,14.0,11.0,16.0,13.0,17.0,16.0,12.0,15.0,17.0,14.0,15.0,21.0,14.0,8.0,15.0,295.0
220551 JUAZEIRO DO PIAUI,5.0,6.0,5.0,2.0,,2.0,2.0,2.0,1.0,3.0,,3.0,1.0,1.0,2.0,1.0,1.0,1.0,38.0
220552 JULIO BORGES,2.0,5.0,5.0,1.0,3.0,1.0,2.0,2.0,1.0,,,2.0,,1.0,2.0,,,,27.0
220553 JUREMA,1.0,3.0,,,1.0,,,1.0,,,2.0,1.0,1.0,4.0,,4.0,5.0,,23.0
220554 LAGOINHA DO PIAUI,,4.0,1.0,2.0,1.0,,,,1.0,,1.0,,,,,1.0,1.0,,12.0
220555 LAGOA ALEGRE,2.0,2.0,2.0,3.0,5.0,3.0,1.0,5.0,12.0,7.0,8.0,2.0,7.0,,3.0,5.0,1.0,4.0,72.0
220556 LAGOA DO BARRO DO PIAUI,3.0,4.0,5.0,1.0,1.0,1.0,2.0,,1.0,2.0,,4.0,1.0,2.0,4.0,1.0,2.0,,34.0
220557 LAGOA DE SAO FRANCISCO,2.0,1.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0,1.0,,2.0,1.0,,,1.0,2.0,3.0,28.0
220558 LAGOA DO PIAUI,2.0,3.0,2.0,,3.0,3.0,1.0,1.0,3.0,2.0,,2.0,4.0,3.0,1.0,3.0,2.0,,35.0
220559 LAGOA DO SITIO,2.0,4.0,1.0,1.0,3.0,3.0,,1.0,,,1.0,3.0,,,1.0,,1.0,,21.0
220560 LANDRI SALES,3.0,,2.0,,2.0,2.0,,,,2.0,,,,,4.0,5.0,10.0,1.0,31.0
220570 LUIS CORREIA,34.0,13.0,29.0,31.0,33.0,20.0,18.0,11.0,42.0,46.0,59.0,32.0,33.0,33.0,35.0,20.0,21.0,22.0,532.0
220580 LUZILANDIA,15.0,9.0,4.0,8.0,8.0,4.0,6.0,4.0,3.0,9.0,3.0,5.0,6.0,5.0,5.0,4.0,5.0,1.0,104.0
220585 MADEIRO,1.0,3.0,6.0,2.0,2.0,,2.0,2.0,,3.0,1.0,,,1.0,1.0,4.0,,1.0,29.0
220590 MANOEL EMIDIO,4.0,3.0,1.0,4.0,,2.0,3.0,4.0,2.0,2.0,1.0,,1.0,1.0,5.0,2.0,1.0,,36.0
220595 MARCOLANDIA,8.0,11.0,8.0,9.0,5.0,7.0,8.0,6.0,1.0,2.0,3.0,1.0,3.0,4.0,2.0,3.0,7.0,3.0,91.0
220600 MARCOS PARENTE,2.0,,,1.0,1.0,,,,,,,,,,1.0,5.0,1.0,1.0,12.0
220605 MASSAPE DO PIAUI,10.0,4.0,7.0,3.0,1.0,2.0,,1.0,,,,1.0,4.0,3.0,4.0,2.0,,,42.0
220610 MATIAS OLIMPIO,11.0,5.0,4.0,3.0,5.0,5.0,,,1.0,,3.0,3.0,2.0,1.0,2.0,4.0,,3.0,52.0
220620 MIGUEL ALVES,15.0,17.0,14.0,7.0,13.0,9.0,9.0,7.0,7.0,9.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,136.0
220630 MIGUEL LEAO,1.0,2.0,,,,,,1.0,2.0,,,1.0,,1.0,,,,,8.0
220635 MILTON BRANDAO,,1.0,2.0,1.0,1.0,,,,,,1.0,,,,3.0,,,5.0,14.0
220640 MONSENHOR GIL,9.0,7.0,6.0,13.0,7.0,9.0,6.0,9.0,7.0,4.0,15.0,3.0,9.0,6.0,9.0,,3.0,3.0,125.0
220650 MONSENHOR HIPOLITO,10.0,15.0,11.0,12.0,10.0,3.0,5.0,7.0,4.0,1.0,1.0,1.0,5.0,4.0,6.0,1.0,,,96.0
220660 MONTE ALEGRE DO PIAUI,2.0,2.0,2.0,4.0,2.0,,2.0,1.0,,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,30.0
220665 MORRO CABECA NO TEMPO,5.0,2.0,3.0,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,,,,16.0
220667 MORRO DO CHAPEU DO PIAUI,3.0,4.0,3.0,1.0,1.0,,1.0,,,,,1.0,,1.0,,,,,15.0
220669 MURICI DOS PORTELAS,5.0,3.0,4.0,4.0,2.0,6.0,2.0,,4.0,2.0,1.0,4.0,1.0,2.0,3.0,,1.0,1.0,45.0
220670 NAZARE DO PIAUI,6.0,7.0,3.0,1.0,3.0,1.0,2.0,,,,,2.0,1.0,2.0,2.0,1.0,6.0,1.0,38.0
220672 NAZARIA,,,1.0,1.0,1.0,,,4.0,8.0,21.0,7.0,5.0,11.0,12.0,10.0,2.0,10.0,4.0,97.0
220675 NOSSA SENHORA DE NAZARE,4.0,2.0,1.0,,1.0,1.0,,1.0,2.0,2.0,7.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,30.0
220680 NOSSA SENHORA DOS REMEDIOS,2.0,2.0,2.0,3.0,5.0,1.0,1.0,2.0,1.0,,1.0,2.0,,,,4.0,,,26.0
220690 NOVO ORIENTE DO PIAUI,9.0,8.0,8.0,4.0,5.0,4.0,4.0,1.0,1.0,2.0,,,,,1.0,,,,47.0
220695 NOVO SANTO ANTONIO,7.0,3.0,1.0,2.0,2.0,,2.0,,,3.0,,,,1.0,,,,,21.0
220700 OEIRAS,13.0,6.0,17.0,10.0,9.0,7.0,5.0,9.0,7.0,3.0,1.0,6.0,4.0,6.0,10.0,16.0,6.0,17.0,152.0
220710 OLHO D'AGUA DO PIAUI,2.0,,1.0,,2.0,,,,,1.0,,,2.0,1.0,,,,,9.0
220720 PADRE MARCOS,3.0,6.0,5.0,6.0,4.0,6.0,6.0,2.0,,,,,1.0,,,2.0,,,41.0
220730 PAES LANDIM,5.0,4.0,2.0,2.0,1.0,,,,2.0,1.0,2.0,,1.0,1.0,5.0,1.0,1.0,,28.0
220735 PAJEU DO PIAUI,,1.0,,,1.0,,,1.0,,,1.0,1.0,,,,,1.0,,6.0
220740 PALMEIRA DO PIAUI,,,,2.0,1.0,1.0,,,,,,,,2.0,,,1.0,,7.0
220750 PALMEIRAIS,9.0,7.0,6.0,8.0,2.0,5.0,2.0,3.0,3.0,9.0,4.0,8.0,4.0,13.0,10.0,3.0,3.0,,99.0
220755 PAQUETA,3.0,5.0,4.0,3.0,12.0,3.0,5.0,4.0,,,1.0,,,1.0,3.0,,5.0,,49.0
220760 PARNAGUA,1.0,1.0,4.0,1.0,,,,1.0,,,,,,,,1.0,1.0,,10.0
220770 PARNAIBA,764.0,812.0,721.0,460.0,461.0,446.0,477.0,393.0,693.0,873.0,871.0,875.0,749.0,707.0,789.0,650.0,624.0,482.0,11847.0
220775 PASSAGEM FRANCA DO PIAUI,4.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,,1.0,1.0,1.0,,1.0,1.0,2.0,34.0
220777 PATOS DO PIAUI,10.0,5.0,14.0,7.0,5.0,6.0,5.0,2.0,6.0,,2.0,2.0,2.0,7.0,5.0,3.0,2.0,8.0,91.0
220779 PAU D'ARCO DO PIAUI,9.0,3.0,4.0,2.0,3.0,4.0,3.0,,,,1.0,1.0,1.0,1.0,1.0,,,,33.0
220780 PAULISTANA,7.0,7.0,9.0,6.0,2.0,10.0,4.0,4.0,1.0,12.0,16.0,21.0,17.0,35.0,24.0,30.0,33.0,30.0,268.0
220785 PAVUSSU,1.0,1.0,,,2.0,,,,,1.0,,,1.0,,3.0,,,,9.0
220790 PEDRO II,25.0,26.0,22.0,12.0,12.0,10.0,16.0,7.0,7.0,10.0,19.0,12.0,8.0,11.0,18.0,22.0,32.0,46.0,315.0
220793 PEDRO LAURENTINO,2.0,1.0,2.0,1.0,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,13.0
220795 NOVA SANTA RITA,,,1.0,2.0,3.0,,2.0,,1.0,2.0,,1.0,4.0,3.0,4.0,2.0,,1.0,26.0
220800 PICOS,231.0,219.0,169.0,141.0,121.0,178.0,162.0,129.0,10.0,11.0,12.0,14.0,4.0,12.0,22.0,11.0,4.0,6.0,1456.0
220810 PIMENTEIRAS,4.0,1.0,3.0,,2.0,1.0,4.0,2.0,3.0,4.0,2.0,8.0,1.0,,1.0,4.0,,,40.0
220820 PIO IX,27.0,10.0,6.0,9.0,6.0,10.0,11.0,4.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,5.0,4.0,106.0
220830 PIRACURUCA,25.0,14.0,20.0,13.0,16.0,9.0,8.0,4.0,3.0,6.0,14.0,10.0,8.0,17.0,12.0,5.0,6.0,,190.0
220840 PIRIPIRI,33.0,31.0,27.0,25.0,14.0,23.0,20.0,16.0,12.0,15.0,8.0,8.0,10.0,14.0,18.0,26.0,17.0,14.0,331.0
220850 PORTO,11.0,7.0,6.0,5.0,8.0,2.0,6.0,,2.0,1.0,1.0,,1.0,2.0,2.0,,1.0,3.0,58.0
220855 PORTO ALEGRE DO PIAUI,,1.0,,,,1.0,,,,,1.0,1.0,,1.0,,,3.0,,8.0
220860 PRATA DO PIAUI,4.0,6.0,3.0,6.0,4.0,3.0,3.0,1.0,,,1.0,,,,,,,1.0,32.0
220865 QUEIMADA NOVA,5.0,7.0,7.0,2.0,,3.0,2.0,2.0,,4.0,4.0,1.0,3.0,8.0,5.0,12.0,7.0,6.0,78.0
220870 REDENCAO DO GURGUEIA,7.0,,,,,,1.0,1.0,,,2.0,1.0,1.0,1.0,,1.0,,,15.0
220880 REGENERACAO,4.0,7.0,3.0,5.0,12.0,5.0,4.0,2.0,4.0,15.0,6.0,7.0,4.0,6.0,5.0,6.0,3.0,4.0,102.0
220885 RIACHO FRIO,,,1.0,,,,,,,,,,,1.0,,,,,2.0
220887 RIBEIRA DO PIAUI,,1.0,1.0,1.0,2.0,2.0,,,,1.0,,1.0,,2.0,,,,1.0,12.0
220890 RIBEIRO GONCALVES,6.0,6.0,6.0,4.0,6.0,1.0,3.0,1.0,2.0,2.0,1.0,,2.0,,1.0,3.0,2.0,,46.0
220900 RIO GRANDE DO PIAUI,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,2.0,6.0,6.0,4.0,24.0
220910 SANTA CRUZ DO PIAUI,6.0,10.0,8.0,4.0,6.0,4.0,1.0,2.0,,1.0,,,,2.0,2.0,,,,46.0
220915 SANTA CRUZ DOS MILAGRES,4.0,2.0,,,1.0,3.0,1.0,1.0,2.0,2.0,2.0,6.0,,3.0,3.0,4.0,2.0,3.0,39.0
220920 SANTA FILOMENA,2.0,2.0,,3.0,1.0,,2.0,1.0,2.0,,,,,1.0,,,,,14.0
220930 SANTA LUZ,,,2.0,,3.0,,3.0,,1.0,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,17.0
220935 SANTANA DO PIAUI,10.0,10.0,5.0,2.0,5.0,1.0,5.0,1.0,,1.0,,,,,,,,,40.0
220937 SANTA ROSA DO PIAUI,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,1.0,1.0,8.0
220940 SANTO ANTONIO DE LISBOA,12.0,5.0,9.0,12.0,8.0,14.0,10.0,6.0,1.0,,,1.0,,,2.0,2.0,1.0,1.0,84.0
220945 SANTO ANTONIO DOS MILAGRES,3.0,3.0,1.0,3.0,1.0,,1.0,1.0,,1.0,1.0,,,4.0,1.0,1.0,1.0,1.0,23.0
220950 SANTO INACIO DO PIAUI,1.0,5.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,1.0,,29.0
220955 SAO BRAZ DO PIAUI,,,1.0,,2.0,,,,,1.0,5.0,6.0,5.0,4.0,5.0,7.0,9.0,,45.0
220960 SAO FELIX DO PIAUI,2.0,2.0,1.0,1.0,2.0,,2.0,,1.0,,1.0,5.0,,1.0,4.0,1.0,1.0,1.0,25.0
220965 SAO FRANCISCO DE ASSIS DO PIAUI,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,2.0,1.0,13.0
220970 SAO FRANCISCO DO PIAUI,8.0,1.0,,,1.0,1.0,,1.0,,1.0,,,,,1.0,,1.0,2.0,17.0
220975 SAO GONCALO DO GURGUEIA,,,,,,,,,,,,,1.0,,,,,,1.0
220980 SAO GONCALO DO PIAUI,2.0,2.0,,3.0,2.0,,1.0,2.0,1.0,1.0,4.0,6.0,,2.0,6.0,5.0,1.0,3.0,41.0
220985 SAO JOAO DA CANABRAVA,13.0,8.0,6.0,2.0,6.0,5.0,5.0,3.0,,2.0,2.0,1.0,,1.0,1.0,,,1.0,56.0
220987 SAO JOAO DA FRONTEIRA,3.0,2.0,3.0,2.0,1.0,,,,,1.0,,,1.0,1.0,1.0,,3.0,2.0,20.0
220990 SAO JOAO DA SERRA,6.0,7.0,8.0,4.0,7.0,4.0,2.0,,2.0,4.0,2.0,4.0,2.0,5.0,8.0,3.0,,,68.0
220995 SAO JOAO DA VARJOTA,8.0,6.0,4.0,3.0,1.0,2.0,2.0,2.0,,1.0,1.0,,,,,1.0,2.0,,33.0
220997 SAO JOAO DO ARRAIAL,3.0,9.0,3.0,5.0,10.0,,4.0,3.0,1.0,,1.0,1.0,2.0,3.0,3.0,5.0,3.0,1.0,57.0
221000 SAO JOAO DO PIAUI,9.0,16.0,9.0,9.0,3.0,1.0,5.0,3.0,1.0,2.0,1.0,5.0,,4.0,3.0,9.0,3.0,7.0,90.0
221005 SAO JOSE DO DIVINO,1.0,,1.0,,1.0,,,,,,,2.0,,,,,,,5.0
221010 SAO JOSE DO PEIXE,1.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,,,5.0,,,1.0,1.0,1.0,27.0
221020 SAO JOSE DO PIAUI,9.0,5.0,9.0,5.0,6.0,9.0,1.0,2.0,,,,,,,5.0,3.0,2.0,,56.0
221030 SAO JULIAO,3.0,6.0,6.0,3.0,4.0,4.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,,,1.0,46.0
221035 SAO LOURENCO DO PIAUI,3.0,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,2.0,5.0,1.0,10.0,3.0,3.0,33.0
221037 SAO LUIS DO PIAUI,2.0,3.0,5.0,3.0,2.0,2.0,4.0,,2.0,1.0,,,,1.0,1.0,,,,26.0
221038 SAO MIGUEL DA BAIXA GRANDE,3.0,2.0,3.0,,2.0,2.0,1.0,2.0,2.0,2.0,1.0,,,2.0,,1.0,,,23.0
221039 SAO MIGUEL DO FIDALGO,3.0,3.0,,,3.0,,1.0,,,1.0,1.0,2.0,2.0,,1.0,,2.0,,19.0
221040 SAO MIGUEL DO TAPUIO,13.0,18.0,20.0,14.0,17.0,11.0,15.0,14.0,3.0,5.0,11.0,7.0,6.0,3.0,7.0,10.0,1.0,1.0,176.0
221050 SAO PEDRO DO PIAUI,1.0,6.0,3.0,13.0,19.0,4.0,2.0,1.0,5.0,4.0,6.0,13.0,2.0,1.0,4.0,1.0,4.0,1.0,90.0
221060 SAO RAIMUNDO NONATO,2.0,3.0,6.0,1.0,2.0,5.0,2.0,2.0,8.0,12.0,41.0,65.0,68.0,77.0,93.0,122.0,48.0,11.0,568.0
221062 SEBASTIAO BARROS,3.0,1.0,,,1.0,,,,,,,,,,,,,,5.0
221063 SEBASTIAO LEAL,,,,,,1.0,,,,,1.0,1.0,,,1.0,,,,4.0
221065 SIGEFREDO PACHECO,4.0,2.0,2.0,4.0,5.0,15.0,15.0,6.0,4.0,6.0,3.0,12.0,2.0,3.0,5.0,3.0,,3.0,94.0
221070 SIMOES,10.0,7.0,11.0,10.0,8.0,9.0,10.0,9.0,5.0,6.0,1.0,1.0,,4.0,1.0,2.0,3.0,5.0,102.0
221080 SIMPLICIO MENDES,9.0,8.0,2.0,4.0,5.0,3.0,1.0,7.0,1.0,2.0,2.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,69.0
221090 SOCORRO DO PIAUI,1.0,4.0,1.0,,,3.0,2.0,,,1.0,1.0,4.0,1.0,1.0,1.0,,1.0,2.0,23.0
221093 SUSSUAPARA,16.0,13.0,14.0,12.0,8.0,7.0,10.0,4.0,2.0,1.0,,1.0,2.0,2.0,4.0,2.0,2.0,1.0,101.0
221095 TAMBORIL DO PIAUI,1.0,1.0,,1.0,,1.0,,,,,2.0,,1.0,,,2.0,1.0,,10.0
221097 TANQUE DO PIAUI,,1.0,,1.0,1.0,,,1.0,1.0,2.0,,,,,,,,1.0,8.0
221100 TERESINA,2645.0,2602.0,2269.0,1626.0,1267.0,1099.0,1194.0,1211.0,972.0,1071.0,1213.0,1193.0,923.0,1043.0,1140.0,1073.0,918.0,579.0,24038.0
221110 UNIAO,18.0,35.0,20.0,17.0,32.0,20.0,12.0,9.0,14.0,7.0,6.0,10.0,16.0,28.0,29.0,13.0,15.0,6.0,307.0
221120 URUCUI,5.0,8.0,8.0,3.0,6.0,2.0,46.0,25.0,37.0,24.0,20.0,24.0,12.0,14.0,10.0,12.0,12.0,9.0,277.0
221130 VALENCA DO PIAUI,19.0,19.0,18.0,12.0,15.0,11.0,11.0,11.0,5.0,4.0,7.0,1.0,4.0,12.0,5.0,4.0,6.0,7.0,171.0
221135 VARZEA BRANCA,,3.0,,,,,,,,,1.0,1.0,1.0,2.0,1.0,5.0,,,14.0
221140 VARZEA GRANDE,4.0,3.0,2.0,,,,1.0,,,,,,,,1.0,,1.0,1.0,13.0
221150 VERA MENDES,10.0,14.0,9.0,9.0,4.0,7.0,5.0,4.0,,1.0,1.0,2.0,,1.0,2.0,3.0,,2.0,74.0
221160 VILA NOVA DO PIAUI,2.0,5.0,,1.0,4.0,4.0,6.0,9.0,,,1.0,,,,2.0,,,,34.0
221170 WALL FERRAZ,6.0,1.0,4.0,4.0,2.0,4.0,2.0,1.0,,,,1.0,,1.0,2.0,,,,28.0
230010 ABAIARA,4.0,6.0,9.0,12.0,15.0,5.0,5.0,10.0,,3.0,1.0,,,2.0,9.0,7.0,7.0,8.0,103.0
230015 ACARAPE,13.0,17.0,8.0,12.0,5.0,9.0,9.0,14.0,10.0,15.0,13.0,13.0,5.0,8.0,9.0,29.0,20.0,8.0,217.0
230020 ACARAU,21.0,25.0,13.0,8.0,12.0,11.0,12.0,17.0,19.0,26.0,19.0,12.0,9.0,35.0,49.0,40.0,39.0,36.0,403.0
230030 ACOPIARA,19.0,21.0,20.0,12.0,22.0,16.0,19.0,7.0,4.0,11.0,10.0,5.0,5.0,10.0,37.0,31.0,36.0,28.0,313.0
230040 AIUABA,15.0,6.0,9.0,8.0,5.0,4.0,4.0,9.0,7.0,11.0,6.0,10.0,5.0,5.0,6.0,12.0,11.0,2.0,135.0
230050 ALCANTARAS,12.0,20.0,29.0,23.0,14.0,18.0,15.0,14.0,12.0,10.0,9.0,17.0,12.0,10.0,14.0,10.0,7.0,10.0,256.0
230060 ALTANEIRA,18.0,10.0,40.0,14.0,16.0,16.0,4.0,6.0,,,,5.0,2.0,3.0,6.0,3.0,3.0,,146.0
230070 ALTO SANTO,6.0,,5.0,3.0,9.0,5.0,,3.0,4.0,4.0,7.0,2.0,2.0,4.0,7.0,14.0,4.0,,79.0
230075 AMONTADA,26.0,15.0,6.0,9.0,18.0,16.0,10.0,13.0,8.0,12.0,6.0,2.0,6.0,11.0,16.0,13.0,12.0,5.0,204.0
230080 ANTONINA DO NORTE,3.0,4.0,2.0,6.0,4.0,4.0,6.0,5.0,1.0,3.0,2.0,1.0,1.0,,2.0,,1.0,1.0,46.0
230090 APUIARES,7.0,7.0,7.0,12.0,11.0,5.0,7.0,10.0,7.0,13.0,10.0,9.0,12.0,7.0,4.0,2.0,5.0,3.0,138.0
230100 AQUIRAZ,61.0,60.0,77.0,65.0,56.0,65.0,37.0,44.0,55.0,54.0,67.0,61.0,68.0,64.0,67.0,62.0,49.0,42.0,1054.0
230110 ARACATI,27.0,33.0,51.0,29.0,33.0,34.0,33.0,37.0,52.0,48.0,33.0,46.0,34.0,36.0,27.0,41.0,41.0,42.0,677.0
230120 ARACOIABA,11.0,15.0,11.0,14.0,18.0,13.0,11.0,10.0,15.0,20.0,18.0,15.0,22.0,6.0,12.0,8.0,15.0,7.0,241.0
230125 ARARENDA,4.0,3.0,2.0,2.0,1.0,13.0,7.0,1.0,3.0,8.0,1.0,1.0,4.0,12.0,11.0,6.0,11.0,8.0,98.0
230130 ARARIPE,27.0,16.0,14.0,13.0,10.0,8.0,12.0,9.0,1.0,,1.0,,1.0,,1.0,1.0,5.0,3.0,122.0
230140 ARATUBA,9.0,11.0,10.0,4.0,4.0,15.0,10.0,4.0,5.0,4.0,11.0,9.0,5.0,1.0,3.0,,1.0,2.0,108.0
230150 ARNEIROZ,2.0,7.0,5.0,6.0,8.0,3.0,2.0,4.0,7.0,4.0,6.0,7.0,10.0,6.0,9.0,5.0,8.0,4.0,103.0
230160 ASSARE,23.0,14.0,15.0,19.0,17.0,15.0,16.0,8.0,1.0,,,1.0,,3.0,3.0,4.0,2.0,9.0,150.0
